Date,BFCIUS Index,PCUSEQTR Index,OPCVTPCR Index,TRADCADS Index,SUM INX Index,SPXVOLC Index,RVOL Index,COR3M Index,CMDIBASS Index,EUR Curncy,MOVE Index,OPCVTOTC Index,OPCVNQP Index,GFSIFFND Index,GFSIRMKT Index,GFSIRSOL Index,GFSIRLIQ Index,NWHLNYHI Index,NWHLNDHI Index,TRADPAUS Index,HFRXED Index,NEIXCTA Index,HFRXEH Index,NQBUY Index,H15X10YR Index
3/9/2022,-0.624,0.54,0.864,84937,-1396.89,3003.91,26.39,51.21,334.57,1.1076,110.9,20144.01,1394.558,0.46,0.81,0.39,0.42,15,49,37.11,1726.31,2724.44,1462.22,1710.651,-0.9
3/8/2022,-0.794,0.52,0.773,84598,-1442.89,3624.2,23.19,52.4,334.9,1.0899,133.37,26988.68,1744.714,0.44,1.07,0.53,0.44,85,54,33.28,1719.82,2778.98,1446.74,1673.016,-1.04
3/7/2022,-0.654,0.57,0.803,84699,-1385.04,3497.05,23.08,52.79,353.92,1.0854,140.03,24043.551,1732.191,0.41,1.08,0.59,0.39,158,80,33.59,1724.67,2743.854,1450.85,1687.781,-0.99
3/4/2022,-0.539,0.67,0.921,85068,-1297.87,2981.3,22.18,48.62,330.8,1.0928,131.82,23237.221,1965.506,0.4,0.95,0.5,0.21,110,58,40.68,1737.16,2682.847,1463.09,1739.617,-0.93
3/3/2022,-0.136,0.59,0.822,85179,-1298.74,2591.26,22.26,47.52,326.3,1.1066,115.18,19186.641,1403.133,0.36,0.58,0.37,0.17,83,62,40.85,1746.15,2656.09,1467.89,1749.816,-0.83
3/2/2022,-0.24,0.55,0.809,85176,-1355.38,2860.31,22.32,48.44,317.98,1.1119,110.28,20805.74,1371.213,0.33,0.52,0.33,0.19,102,69,41.51,1747.35,2639.211,1467.24,1754.903,-0.85
3/1/2022,-0.204,0.5,0.819,84749,-1439.13,3129.89,22.31,48.49,308.37,1.1125,118.26,20490.801,1421.54,0.32,0.55,0.39,0.22,89,52,34.67,1748.6,2584.885,1460.56,1715.818,-0.9
2/28/2022,-0.087,0.49,0.836,85056,-1433.24,3199.99,23.25,46.29,305.58,1.1219,100.4,20190.42,1565.733,0.27,0.29,0.29,0.23,64,58,39.72,1753.43,2564.739,1468.18,1743.096,-0.79
2/25/2022,0.039,0.57,0.823,85280,-1454.05,2688.2,23.29,45.91,302.11,1.1268,93.34,24386.211,1525.156,0.25,0.16,0.18,0.15,38,50,33.64,1756.22,2563.34,1469.7,1742.839,-0.57
2/24/2022,-0.358,0.67,0.988,84805,-1478.07,3555.29,21.97,47.99,308.88,1.1192,100.75,25824.471,2011.425,0.24,0.32,0.31,0.14,14,30,33.73,1751.61,2598.981,1456.47,1693.717,-0.59
2/23/2022,0.073,0.66,0.915,84671,-1364.77,2475.07,21.88,50.5,302.32,1.1307,95.15,20330.381,1436.41,0.23,0.16,0.2,0.07,20,32,33.35,1755.13,2592.629,1456.66,1678.508,-0.54
2/22/2022,0.16,0.55,0.932,85052,-1191.58,2730.85,21.03,46.27,305.33,1.1325,95.54,20075.27,1409.78,0.21,0.19,0.17,0.08,21,37,36.35,1757.37,2582.445,1463.91,1702.88,-0.51
2/18/2022,0.113,0.73,1.049,85480,-1069.83,2563.24,21.78,46.53,301.93,1.1322,94.36,22663.891,1739.344,0.23,0.18,0.14,0.04,18,28,40.55,1765.4,2553.329,1467.66,1722.6,-0.49
2/17/2022,0.231,0.68,0.885,85638,-1023.17,2301.72,22.01,45.41,299.56,1.1361,96.17,20043.33,1298.324,0.21,0.18,0.09,0.02,16,35,40.68,1766.92,2555.675,1470.72,1727.926,-0.46
2/16/2022,0.404,0.59,0.799,85989,-1002.9,2295.6,21.02,39.53,300.06,1.1373,92.74,19989.01,1117.012,0.2,0.08,0.05,0.02,55,52,45.35,1765.99,2573.444,1478.06,1756.836,-0.43
