112.11,109.02,112.02,109.13
112.23,110.77,112.62,111.43
114.06,112.22,114.89,113.14
112.36,114.11,115.17,112.69
116.86,114.24,117.37,114.10
117.08,115.59,117.12,116.24
115.60,115.68,117.33,115.67
115.75,116.77,117.09,116.08
116.71,117.63,117.81,117.14
117.62,116.07,118.38,116.79
117.73,116.13,118.28,116.89
116.40,116.41,116.41,115.74
116.83,116.53,116.64,116.52
117.04,116.82,118.39,116.93
117.50,118.45,119.30,117.10
116.51,116.75,117.70,116.84
116.05,115.89,117.21,115.38
115.93,116.10,116.92,115.20
116.43,114.66,115.66,115.57
115.67,116.74,117.03,116.01
118.47,116.55,118.52,117.09
119.58,118.02,119.78,118.00
118.08,117.53,118.12,117.06
119.64,118.09,119.50,117.28
119.21,122.00,119.42,120.44
119.68,119.08,120.17,119.11
120.64,118.31,120.79,118.52
120.95,119.23,121.12,119.12
118.75,118.17,118.83,118.13
119.96,123.56,120.57,121.96
119.86,120.30,121.41,120.21
121.37,118.41,119.97,121.58
120.85,119.19,120.84,119.04
122.02,121.22,122.80,121.64
122.59,122.11,122.90,121.90
121.42,121.15,121.95,121.26
121.14,120.55,120.98,120.28
128.43,125.82,129.77,126.07
129.49,127.20,130.01,127.19
129.63,128.65,128.99,128.54
130.28,130.79,130.76,130.39
131.21,129.33,131.37,129.51
139.44,137.23,141.32,137.61
132.21,131.05,132.03,130.78
139.52,138.34,142.04,138.44
133.37,132.63,134.18,132.79
136.19,134.09,135.97,133.95
136.06,135.86,136.07,135.00
137.18,137.12,138.17,136.55
135.22,135.25,135.20,134.71
137.29,136.30,137.10,136.04
137.26,137.52,136.89,136.53
136.40,137.43,137.66,137.29
135.75,136.11,136.75,134.31
137.20,138.37,138.21,137.28
136.88,136.63,136.72,136.43
140.12,137.04,139.28,136.93
139.19,139.24,140.29,138.71
138.87,138.98,139.92,137.62
139.23,138.92,139.06,138.33
140.34,137.84,139.53,138.62
138.48,138.84,139.62,138.85
137.85,140.85,138.92,138.22
138.82,139.04,138.35,136.87
139.47,140.08,140.21,139.82
138.78,139.75,139.87,138.86
140.92,139.92,141.32,140.61
140.92,142.03,141.29,141.49
139.29,141.28,140.98,139.52
142.93,139.80,142.00,140.57
138.22,143.82,144.10,139.23
143.00,137.58,140.40,139.79
139.30,142.97,142.88,140.11
140.36,141.74,141.90,140.09
141.12,137.28,140.70,136.89
146.72,142.43,146.86,142.62
147.04,145.20,147.31,145.19
143.74,144.70,144.51,143.81
143.98,146.49,144.72,145.58
143.74,143.70,143.97,143.09
144.81,143.24,144.74,143.21
143.27,145.19,146.03,144.45
143.30,144.36,143.58,143.09
142.59,144.70,144.75,143.91
143.00,143.47,143.58,142.53
140.09,142.28,142.82,137.22
141.97,140.26,140.95,141.96
140.30,142.22,142.61,141.09
142.61,141.05,141.38,140.69
141.37,140.07,140.84,142.06
140.16,142.35,141.96,139.79
142.61,139.88,141.72,142.11
142.10,143.66,142.44,142.54
145.01,144.56,145.22,144.51
145.42,144.32,145.85,144.56
142.83,145.03,144.30,142.88
143.90,143.38,143.72,143.24
143.51,144.26,144.44,143.23
149.51,146.11,150.10,146.65
150.44,148.55,150.99,148.53
